irr_id,municipality_id,source_url,source_type,dimension,evidence_status_coder1,evidence_status_coder2,evidence_status_consensus,quoted_evidence_coder2,page_or_section_coder2,coder2_notes,reconciled,disagreement_type,reconciliation_rule,minutes_spent
IRR-031,mun-vienna,https://digitales.wien.gv.at/wp-content/uploads/sites/47/2025/09/1065373-2025_MD-OS_PIKT_KI-Strategie_Sanjath_EN_korr-bf.pdf,AI strategy,D1_programme_ownership,observable_named_artifact,observable_named_artifact,,,,,,,,
IRR-032,mun-vienna,https://digitales.wien.gv.at/wp-content/uploads/sites/47/2025/09/1065373-2025_MD-OS_PIKT_KI-Strategie_Sanjath_EN_korr-bf.pdf,AI strategy,D2_human_oversight_and_review,observable_policy_commitment,observable_policy_commitment,,,,,,,,
IRR-033,mun-vienna,https://digitales.wien.gv.at/wp-content/uploads/sites/47/2025/09/1065373-2025_MD-OS_PIKT_KI-Strategie_Sanjath_EN_korr-bf.pdf,AI strategy,D3_prompt_log_and_data_governance,observable_policy_commitment,observable_policy_commitment,,,,,,,,
IRR-034,mun-vienna,https://digitales.wien.gv.at/wp-content/uploads/sites/47/2025/09/1065373-2025_MD-OS_PIKT_KI-Strategie_Sanjath_EN_korr-bf.pdf,AI strategy,D4_procurement_and_vendor_stewardship,not_observable_publicly,not_observable_publicly,,,,,,,,
IRR-035,mun-vienna,https://digitales.wien.gv.at/wp-content/uploads/sites/47/2025/09/1065373-2025_MD-OS_PIKT_KI-Strategie_Sanjath_EN_korr-bf.pdf,AI strategy,D5_incident_audit_and_lifecycle_accountability,observable_policy_commitment,observable_policy_commitment,,,,,,,,
IRR-036,mun-vienna,https://digitales.wien.gv.at/ki-rahmenbedingungen/,governance framework,D1_programme_ownership,partial_or_indirect_signal,not_observable_publicly,,,,TB-4; CKT process not programme ownership role,,,,
IRR-037,mun-vienna,https://digitales.wien.gv.at/ki-rahmenbedingungen/,governance framework,D2_human_oversight_and_review,observable_policy_commitment,observable_policy_commitment,,,,,,,,
IRR-038,mun-vienna,https://digitales.wien.gv.at/ki-rahmenbedingungen/,governance framework,D3_prompt_log_and_data_governance,observable_policy_commitment,observable_policy_commitment,,,,,,,,
IRR-039,mun-vienna,https://digitales.wien.gv.at/ki-rahmenbedingungen/,governance framework,D4_procurement_and_vendor_stewardship,partial_or_indirect_signal,observable_policy_commitment,,,,TB-3; service-provider evaluation obligation in CKT,,,,
IRR-040,mun-vienna,https://digitales.wien.gv.at/ki-rahmenbedingungen/,governance framework,D5_incident_audit_and_lifecycle_accountability,observable_policy_commitment,observable_policy_commitment,,,,,,,,
